name,short_name,position,team,rating
LeBron James,L. James,F,LAL,96
Anthony Davis,A. Davis,F-C,LAL,93
Stephen Curry,S. Curry,G,GSW,79
Klay Thompson,K. Thompson,G,GSW,79
Draymond Green,D. Green,F,GSW,82
Kevin Durant,K. Durant,F,PHX,94
Devin Booker,D. Booker,G,PHX,77
Bradley Beal,B. Beal,G,PHX,99
Luka Doncic,L. Doncic,G,DAL,72
Kyrie Irving,K. Irving,G,DAL,78
Nikola Jokic,N. Jokic,C,DEN,96
Jamal Murray,J. Murray,G,DEN,93
Aaron Gordon,A. Gordon,F,DEN,98
Michael Porter Jr.,M. Porter Jr.,F,DEN,98
Giannis Antetokounmpo,G. Antetokounmpo,F,MIL,92
Damian Lillard,D. Lillard,G,MIL,98
Khris Middleton,K. Middleton,F,MIL,77
Jayson Tatum,J. Tatum,F,BOS,94
Jaylen Brown,J. Brown,F,BOS,97
Kristaps Porzingis,K. Porzingis,F-C,BOS,81
Jrue Holiday,J. Holiday,G,BOS,98
Derrick White,D. White,G,BOS,89
Joel Embiid,J. Embiid,C,PHI,82
Tyrese Maxey,T. Maxey,G,PHI,97
Tobias Harris,T. Harris,F,PHI,83
Donovan Mitchell,D. Mitchell,G,CLE,91
Darius Garland,D. Garland,G,CLE,89
Evan Mobley,E. Mobley,F-C,CLE,80
Jarrett Allen,J. Allen,C,CLE,87
Jalen Brunson,J. Brunson,G,NYK,74
Julius Randle,J. Randle,F,NYK,72
OG Anunoby,O. Anunoby,F,NYK,94
Mikal Bridges,M. Bridges,F,BKN,95
Cam Thomas,C. Thomas,G,BKN,81
Nic Claxton,N. Claxton,C,BKN,84
Trae Young,T. Young,G,ATL,70
Dejounte Murray,D. Murray,G,ATL,95
Clint Capela,C. Capela,C,ATL,86
Paolo Banchero,P. Banchero,F,ORL,90
Franz Wagner,F. Wagner,F,ORL,95
Jimmy Butler,J. Butler,F,MIA,79
Bam Adebayo,B. Adebayo,C-F,MIA,83
Tyler Herro,T. Herro,G,MIA,90
Tyrese Haliburton,T. Haliburton,G,IND,78
Pascal Siakam,P. Siakam,F,IND,92
Myles Turner,M. Turner,C,IND,74
De'Aaron Fox,D. Fox,G,SAC,97
Domantas Sabonis,D. Sabonis,F-C,SAC,84
Keegan Murray,K. Murray,F,SAC,74
Zion Williamson,Z. Williamson,F,NOP,84
Brandon Ingram,B. Ingram,F,NOP,88
CJ McCollum,C. McCollum,G,NOP,86
Shai Gilgeous-Alexander,S. Gilgeous-Alexander,G,OKC,88
Chet Holmgren,C. Holmgren,C-F,OKC,81
Jalen Williams,J. Williams,F-G,OKC,98
Anthony Edwards,A. Edwards,G,MIN,85
Karl-Anthony Towns,K. Towns,F-C,MIN,70
Rudy Gobert,R. Gobert,C,MIN,78
Kawhi Leonard,K. Leonard,F,LAC,89
Paul George,P. George,F,LAC,92
James Harden,J. Harden,G,LAC,80
Lauri Markkanen,L. Markkanen,F,UTA,81
Jordan Clarkson,J. Clarkson,G,UTA,89
Victor Wembanyama,V. Wembanyama,C-F,SAS,93
Devin Vassell,D. Vassell,G,SAS,94
Keldon Johnson,K. Johnson,F,SAS,75
Ja Morant,J. Morant,G,MEM,77
Desmond Bane,D. Bane,G,MEM,87
Jaren Jackson Jr.,J. Jackson Jr.,F-C,MEM,76
DeMar DeRozan,D. DeRozan,F-G,CHI,82
Zach LaVine,Z. LaVine,G,CHI,75
Nikola Vucevic,N. Vucevic,C,CHI,90
Coby White,C. White,G,CHI,79
Scottie Barnes,S. Barnes,F,TOR,89
Immanuel Quickley,I. Quickley,G,TOR,74
RJ Barrett,R. Barrett,G-F,TOR,82
Cade Cunningham,C. Cunningham,G,DET,70
Jaden Ivey,J. Ivey,G,DET,81
Jalen Duren,J. Duren,C,DET,80
Alperen Sengun,A. Sengun,C,HOU,72
Jalen Green,J. Green,G,HOU,71
Fred VanVleet,F. VanVleet,G,HOU,94
LaMelo Ball,L. Ball,G,CHA,89
Miles Bridges,M. Bridges,F,CHA,91
Brandon Miller,B. Miller,F,CHA,83
Kyle Kuzma,K. Kuzma,F,WAS,87
Jordan Poole,J. Poole,G,WAS,78
Deandre Ayton,D. Ayton,C,POR,92
Anfernee Simons,A. Simons,G,POR,80
Jerami Grant,J. Grant,F,POR,79
Austin Reaves,A. Reaves,G,LAL,91
D'Angelo Russell,D. Russell,G,LAL,93
Rui Hachimura,R. Hachimura,F,LAL,94
Jonathan Kuminga,J. Kuminga,F,GSW,70
Andrew Wiggins,A. Wiggins,F,GSW,85
Kevon Looney,K. Looney,C,GSW,93
Jusuf Nurkic,J. Nurkic,C,PHX,87
Grayson Allen,G. Allen,G,PHX,91
Tim Hardaway Jr.,T. Hardaway Jr.,G,DAL,87
Dereck Lively II,D. Lively II,C,DAL,77
Kentavious Caldwell-Pope,K. Caldwell-Pope,G,DEN,96
Bobby Portis,B. Portis,F-C,MIL,81
Brook Lopez,B. Lopez,C,MIL,72
Al Horford,A. Horford,C-F,BOS,72
Payton Pritchard,P. Pritchard,G,BOS,92
Kelly Oubre Jr.,K. Oubre Jr.,F,PHI,83
Paul Reed,P. Reed,F-C,PHI,72
Caris LeVert,C. LeVert,G,CLE,75
Max Strus,M. Strus,G-F,CLE,78
Josh Hart,J. Hart,G-F,NYK,72
Donte DiVincenzo,D. DiVincenzo,G,NYK,71
Cameron Johnson,C. Johnson,F,BKN,87
Dennis Schroder,D. Schroder,G,BKN,87
Bogdan Bogdanovic,B. Bogdanovic,G,ATL,86
Jalen Johnson,J. Johnson,F,ATL,79
Wendell Carter Jr.,W. Carter Jr.,C,ORL,94
Jalen Suggs,J. Suggs,G,ORL,71
Cole Anthony,C. Anthony,G,ORL,87
Duncan Robinson,D. Robinson,G,MIA,97
Bennedict Mathurin,B. Mathurin,G,IND,96
Aaron Nesmith,A. Nesmith,F,IND,77
Obi Toppin,O. Toppin,F,IND,73
Malik Monk,M. Monk,G,SAC,85
Kevin Huerter,K. Huerter,G,SAC,78
Harrison Barnes,H. Barnes,F,SAC,98
Jonas Valanciunas,J. Valanciunas,C,NOP,79
Trey Murphy III,T. Murphy III,F,NOP,74
Herbert Jones,H. Jones,F,NOP,72
Josh Giddey,J. Giddey,G,OKC,89
Luguentz Dort,L. Dort,G,OKC,91
Naz Reid,N. Reid,C-F,MIN,97
Jaden McDaniels,J. McDaniels,F,MIN,74
Mike Conley,M. Conley,G,MIN,85
Norman Powell,N. Powell,G,LAC,86
Ivica Zubac,I. Zubac,C,LAC,93
Terance Mann,T. Mann,G,LAC,90
Collin Sexton,C. Sexton,G,UTA,72
John Collins,J. Collins,F,UTA,90
Walker Kessler,W. Kessler,C,UTA,73
Tre Jones,T. Jones,G,SAS,86
Jeremy Sochan,J. Sochan,F,SAS,96
Marcus Smart,M. Smart,G,MEM,79
Luke Kennard,L. Kennard,G,MEM,85
Alex Caruso,A. Caruso,G,CHI,99
Patrick Williams,P. Williams,F,CHI,79
Jakob Poeltl,J. Poeltl,C,TOR,84
Gary Trent Jr.,G. Trent Jr.,G,TOR,85
Isaiah Stewart,I. Stewart,F-C,DET,81
Ausar Thompson,A. Thompson,G-F,DET,77
Jabari Smith Jr.,J. Smith Jr.,F,HOU,95
Dillon Brooks,D. Brooks,F,HOU,89
Amen Thompson,A. Thompson,G,HOU,73
Mark Williams,M. Williams,C,CHA,83
Nick Richards,N. Richards,C,CHA,93
Deni Avdija,D. Avdija,F,WAS,88
Corey Kispert,C. Kispert,F,WAS,95
Tyus Jones,T. Jones,G,WAS,74
Malcolm Brogdon,M. Brogdon,G,POR,98
Scoot Henderson,S. Henderson,G,POR,75
Shaedon Sharpe,S. Sharpe,G,POR,82
Gabe Vincent,G. Vincent,G,LAL,93
Christian Wood,C. Wood,F,LAL,86
Brandin Podziemski,B. Podziemski,G,GSW,70
Trayce Jackson-Davis,T. Jackson-Davis,F,GSW,82
Eric Gordon,E. Gordon,G,PHX,83
Royce O'Neale,R. O'Neale,F,PHX,75
Josh Green,J. Green,G,DAL,79
P.J. Washington,P. Washington,F,DAL,77
Christian Braun,C. Braun,G,DEN,79
Peyton Watson,P. Watson,F,DEN,93
Pat Connaughton,P. Connaughton,G,MIL,71
Malik Beasley,M. Beasley,G,MIL,93
Sam Hauser,S. Hauser,F,BOS,76
Luke Kornet,L. Kornet,C,BOS,91
Buddy Hield,B. Hield,G,PHI,77
Nicolas Batum,N. Batum,F,PHI,79
Isaac Okoro,I. Okoro,G-F,CLE,90
Georges Niang,G. Niang,F,CLE,90
Isaiah Hartenstein,I. Hartenstein,C,NYK,99
Precious Achiuwa,P. Achiuwa,F,NYK,77
Dorian Finney-Smith,D. Finney-Smith,F,BKN,79
Day'Ron Sharpe,D. Sharpe,C,BKN,82
Saddiq Bey,S. Bey,F,ATL,83
Onyeka Okongwu,O. Okongwu,C-F,ATL,77
Jonathan Isaac,J. Isaac,F,ORL,98
Moritz Wagner,M. Wagner,C-F,ORL,91
Caleb Martin,C. Martin,F,MIA,86
Jaime Jaquez Jr.,J. Jaquez Jr.,G-F,MIA,87
Player 188,P. 188,G,UNK,73
Player 189,P. 189,G,UNK,97
Player 190,P. 190,G,UNK,72
Player 191,P. 191,G,UNK,75
Player 192,P. 192,G,UNK,79
Player 193,P. 193,G,UNK,90
Player 194,P. 194,G,UNK,78
Player 195,P. 195,G,UNK,87
Player 196,P. 196,G,UNK,76
Player 197,P. 197,G,UNK,76
Player 198,P. 198,G,UNK,88
